#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 04 13 17 999 99.0 99.0  1.98  7.14  5.91 149 9999.0 999.0  11.2 999.0 99.0 99.00
2015 01 04 13 47 999 99.0 99.0  1.91  7.14  5.76 152 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 04 14 17 999 99.0 99.0  2.07  7.69  5.94 148 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 04 14 47 999 99.0 99.0  1.89  7.14  5.80 151 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 15 17 999 99.0 99.0  1.93  7.69  5.77 151 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 15 47 999 99.0 99.0  2.11  7.14  6.03 152 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 16 17 999 99.0 99.0  2.04  7.69  5.96 148 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 16 47 999 99.0 99.0  1.95  7.14  5.83 147 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 17 17 999 99.0 99.0  1.95  7.14  5.88 151 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 17 47 999 99.0 99.0  1.84  7.69  5.79 142 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 04 18 17 999 99.0 99.0  1.94  7.69  5.61 145 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 18 47 999 99.0 99.0  1.91  7.69  5.69 148 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 19 17 999 99.0 99.0  1.84  7.14  5.55 152 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 19 47 999 99.0 99.0  1.91  8.33  5.52 144 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 20 17 999 99.0 99.0  2.08  7.14  5.65 156 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 20 47 999 99.0 99.0  1.97  8.33  5.71 151 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 21 17 999 99.0 99.0  2.05  7.69  5.76 154 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 21 47 999 99.0 99.0  2.01  7.14  5.47 161 9999.0 999.0  10.9 999.0 99.0 99.00
2015 01 04 22 17 999 99.0 99.0  2.07  7.14  5.45 161 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 22 47 999 99.0 99.0  2.05  7.69  5.46 161 9999.0 999.0  11.0 999.0 99.0 99.00
2015 01 04 23 17 999 99.0 99.0  2.06  7.69  5.53 154 9999.0 999.0  11.1 999.0 99.0 99.00
2015 01 04 23 47 999 99.0 99.0  2.02  7.14  5.36 161 9999.0 999.0  11.2 999.0 99.0 99.00
2015 01 05 00 17 999 99.0 99.0  2.25  7.69  5.46 155 9999.0 999.0  11.3 999.0 99.0 99.00
2015 01 05 00 47 999 99.0 99.0  2.05  7.69  5.25 154 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 05 01 17 999 99.0 99.0  2.03  7.14  5.18 158 9999.0 999.0  11.7 999.0 99.0 99.00
2015 01 05 01 47 999 99.0 99.0  2.05  7.69  5.16 158 9999.0 999.0  12.0 999.0 99.0 99.00
2015 01 05 02 17 999 99.0 99.0  2.08  8.33  5.27 154 9999.0 999.0  12.3 999.0 99.0 99.00
2015 01 05 02 47 999 99.0 99.0  2.08  7.69  5.22 168 9999.0 999.0  12.5 999.0 99.0 99.00
2015 01 05 03 17 999 99.0 99.0  2.09  7.69  5.28 154 9999.0 999.0  12.8 999.0 99.0 99.00
2015 01 05 03 47 999 99.0 99.0  2.08  7.69  5.41 155 9999.0 999.0  13.1 999.0 99.0 99.00
2015 01 05 04 17 999 99.0 99.0  2.00  7.69  5.43 162 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 05 04 47 999 99.0 99.0  2.10  7.69  5.51 154 9999.0 999.0  14.0 999.0 99.0 99.00
2015 01 05 05 17 999 99.0 99.0  2.04  7.69  5.68 161 9999.0 999.0  14.6 999.0 99.0 99.00
2015 01 05 05 47 999 99.0 99.0  1.95  8.33  5.68 152 9999.0 999.0  15.3 999.0 99.0 99.00
2015 01 05 06 17 999 99.0 99.0  1.84  7.14  5.37 169 9999.0 999.0  15.3 999.0 99.0 99.00
2015 01 05 06 47 999 99.0 99.0  1.62  7.69  5.36 161 9999.0 999.0  15.6 999.0 99.0 99.00
